#title	Energy_deposit_(MeV)_in_the_absorber
#partle	Am241
#E_MeV	0
#absorb	G4_Au
#Abs s	1.5
#Abs t	0.03
#Act s	0
#Act t	0
#n_done	1.000000e+06
#n_set	1.000000e+06
#nbins	602

#E_l (MeV)	counts
0	25
5.4	0
5.4005	0
5.401	0
5.4015	0
5.402	0
5.4025	0
5.403	0
5.4035	0
5.404	0
5.4045	0
5.405	0
5.4055	0
5.406	0
5.4065	0
5.407	0
5.4075	0
5.408	0
5.4085	0
5.409	1
5.4095	1
5.41	0
5.4105	0
5.411	0
5.4115	1
5.412	0
5.4125	1
5.413	0
5.4135	0
5.414	0
5.4145	1
5.415	0
5.4155	0
5.416	0
5.4165	0
5.417	1
5.4175	0
5.418	0
5.4185	1
5.419	0
5.4195	1
5.42	0
5.4205	0
5.421	0
5.4215	0
5.422	0
5.4225	0
5.423	0
5.4235	0
5.424	0
5.4245	0
5.425	0
5.4255	1
5.426	0
5.4265	0
5.427	0
5.4275	0
5.428	0
5.4285	0
5.429	0
5.4295	0
5.43	1
5.4305	0
5.431	0
5.4315	0
5.432	0
5.4325	0
5.433	0
5.4335	0
5.434	0
5.4345	0
5.435	0
5.4355	0
5.436	0
5.4365	0
5.437	0
5.4375	0
5.438	0
5.4385	0
5.439	0
5.4395	0
5.44	0
5.4405	0
5.441	0
5.4415	0
5.442	0
5.4425	0
5.443	0
5.4435	0
5.444	0
5.4445	0
5.445	0
5.4455	0
5.446	0
5.4465	0
5.447	0
5.4475	0
5.448	1
5.4485	0
5.449	0
5.4495	0
5.45	0
5.4505	0
5.451	0
5.4515	1
5.452	0
5.4525	0
5.453	0
5.4535	0
5.454	0
5.4545	0
5.455	0
5.4555	0
5.456	0
5.4565	0
5.457	0
5.4575	0
5.458	0
5.4585	0
5.459	0
5.4595	0
5.46	0
5.4605	0
5.461	0
5.4615	0
5.462	0
5.4625	0
5.463	0
5.4635	0
5.464	0
5.4645	0
5.465	0
5.4655	0
5.466	0
5.4665	0
5.467	0
5.4675	0
5.468	0
5.4685	1
5.469	0
5.4695	0
5.47	0
5.4705	0
5.471	0
5.4715	0
5.472	0
5.4725	0
5.473	1
5.4735	0
5.474	1
5.4745	1
5.475	0
5.4755	2
5.476	2
5.4765	1
5.477	1
5.4775	1
5.478	0
5.4785	3
5.479	2
5.4795	4
5.48	3
5.4805	5
5.481	4
5.4815	2
5.482	0
5.4825	1
5.483	0
5.4835	0
5.484	0
5.4845	0
5.485	0
5.4855	0
5.486	0
5.4865	1
5.487	2
5.4875	0
5.488	1
5.4885	0
5.489	0
5.4895	0
5.49	1
5.4905	0
5.491	1
5.4915	1
5.492	0
5.4925	2
5.493	0
5.4935	0
5.494	1
5.4945	0
5.495	1
5.4955	0
5.496	0
5.4965	0
5.497	0
5.4975	0
5.498	0
5.4985	1
5.499	1
5.4995	0
5.5	0
5.5005	0
5.501	0
5.5015	0
5.502	0
5.5025	0
5.503	1
5.5035	0
5.504	0
5.5045	0
5.505	0
5.5055	0
5.506	2
5.5065	0
5.507	0
5.5075	0
5.508	1
5.5085	1
5.509	2
5.5095	2
5.51	3
5.5105	4
5.511	1
5.5115	2
5.512	4
5.5125	1
5.513	2
5.5135	4
5.514	2
5.5145	0
5.515	5
5.5155	4
5.516	1
5.5165	2
5.517	2
5.5175	2
5.518	1
5.5185	1
5.519	1
5.5195	2
5.52	2
5.5205	2
5.521	0
5.5215	1
5.522	0
5.5225	5
5.523	5
5.5235	6
5.524	4
5.5245	2
5.525	1
5.5255	2
5.526	2
5.5265	1
5.527	4
5.5275	4
5.528	1
5.5285	6
5.529	2
5.5295	2
5.53	6
5.5305	7
5.531	12
5.5315	7
5.532	14
5.5325	13
5.533	18
5.5335	17
5.534	22
5.5345	21
5.535	20
5.5355	13
5.536	12
5.5365	23
5.537	21
5.5375	14
5.538	10
5.5385	17
5.539	14
5.5395	14
5.54	6
5.5405	9
5.541	12
5.5415	6
5.542	8
5.5425	6
5.543	1
5.5435	2
5.544	1
5.5445	1
5.545	1
5.5455	0
5.546	0
5.5465	1
5.547	0
5.5475	1
5.548	0
5.5485	2
5.549	0
5.5495	1
5.55	2
5.5505	0
5.551	1
5.5515	1
5.552	0
5.5525	4
5.553	1
5.5535	2
5.554	7
5.5545	5
5.555	4
5.5555	2
5.556	5
5.5565	11
5.557	8
5.5575	5
5.558	11
5.5585	10
5.559	8
5.5595	7
5.56	8
5.5605	7
5.561	10
5.5615	7
5.562	9
5.5625	10
5.563	7
5.5635	11
5.564	7
5.5645	9
5.565	12
5.5655	9
5.566	17
5.5665	24
5.567	20
5.5675	52
5.568	62
5.5685	107
5.569	207
5.5695	298
5.57	442
5.5705	684
5.571	1063
5.5715	1603
5.572	2174
5.5725	2999
5.573	3975
5.5735	5288
5.574	6737
5.5745	8217
5.575	10010
5.5755	11617
5.576	13173
5.5765	14427
5.577	15722
5.5775	16254
5.578	16603
5.5785	16342
5.579	15580
5.5795	14885
5.58	13396
5.5805	11941
5.581	10114
5.5815	8567
5.582	7037
5.5825	5412
5.583	4323
5.5835	3267
5.584	2356
5.5845	1717
5.585	1147
5.5855	820
5.586	608
5.5865	384
5.587	264
5.5875	190
5.588	162
5.5885	117
5.589	108
5.5895	91
5.59	76
5.5905	86
5.591	83
5.5915	81
5.592	86
5.5925	89
5.593	103
5.5935	104
5.594	85
5.5945	71
5.595	91
5.5955	91
5.596	73
5.5965	57
5.597	78
5.5975	61
5.598	73
5.5985	71
5.599	56
5.5995	66
5.6	65
5.6005	60
5.601	68
5.6015	51
5.602	54
5.6025	63
5.603	51
5.6035	71
5.604	67
5.6045	71
5.605	87
5.6055	83
5.606	93
5.6065	115
5.607	132
5.6075	158
5.608	140
5.6085	193
5.609	195
5.6095	225
5.61	245
5.6105	236
5.611	253
5.6115	280
5.612	279
5.6125	271
5.613	255
5.6135	227
5.614	258
5.6145	228
5.615	228
5.6155	204
5.616	183
5.6165	213
5.617	212
5.6175	186
5.618	204
5.6185	191
5.619	212
5.6195	214
5.62	222
5.6205	188
5.621	193
5.6215	213
5.622	192
5.6225	178
5.623	211
5.6235	226
5.624	258
5.6245	242
5.625	259
5.6255	289
5.626	283
5.6265	312
5.627	316
5.6275	401
5.628	501
5.6285	733
5.629	986
5.6295	1416
5.63	2160
5.6305	3121
5.631	4683
5.6315	6375
5.632	8563
5.6325	11511
5.633	15135
5.6335	19389
5.634	23687
5.6345	28884
5.635	33451
5.6355	38028
5.636	42087
5.6365	45728
5.637	47548
5.6375	48498
5.638	48499
5.6385	46538
5.639	43836
5.6395	39971
5.64	35904
5.6405	30865
5.641	25890
5.6415	21207
5.642	16697
5.6425	13065
5.643	9632
5.6435	6987
5.644	5041
5.6445	3495
5.645	2315
5.6455	1558
5.646	1004
5.6465	613
5.647	380
5.6475	247
5.648	123
5.6485	53
5.649	40
5.6495	14
5.65	7
5.6505	2
5.651	1
5.6515	0
5.652	1
5.6525	0
5.653	0
5.6535	0
5.654	0
5.6545	0
5.655	0
5.6555	0
5.656	0
5.6565	0
5.657	0
5.6575	0
5.658	0
5.6585	0
5.659	0
5.6595	0
5.66	0
5.6605	0
5.661	0
5.6615	0
5.662	0
5.6625	0
5.663	0
5.6635	0
5.664	0
5.6645	0
5.665	0
5.6655	0
5.666	0
5.6665	0
5.667	0
5.6675	0
5.668	0
5.6685	0
5.669	0
5.6695	0
5.67	0
5.6705	0
5.671	0
5.6715	0
5.672	0
5.6725	0
5.673	0
5.6735	0
5.674	0
5.6745	0
5.675	0
5.6755	0
5.676	0
5.6765	0
5.677	0
5.6775	0
5.678	0
5.6785	0
5.679	0
5.6795	0
5.68	0
5.6805	0
5.681	0
5.6815	0
5.682	0
5.6825	0
5.683	0
5.6835	0
5.684	0
5.6845	0
5.685	0
5.6855	0
5.686	0
5.6865	0
5.687	0
5.6875	0
5.688	0
5.6885	0
5.689	0
5.6895	0
5.69	0
5.6905	0
5.691	0
5.6915	0
